subject,predicate,object,chunk
apple inc.,uses,foreign exchange contracts for accounting hedges,129
apple inc.,uses,interest rate contracts for accounting hedges,129
apple inc.,had,current and non-current marketable securities as hedged assets,129
apple inc.,had,current and non-current term debt as hedged liabilities,129
third-party cellular network carriers,accounted for,"38% of apple inc. total trade receivables on september 28, 2024",129
third-party cellular network carriers,accounted for,"41% of apple inc. total trade receivables on september 30, 2023",129
apple inc.,requires,credit support or collateral from certain customers,129
apple inc.,has,non-trade receivables from certain manufacturing vendors,129
certain manufacturing vendors,manufacture or assemble,subassemblies or final products for apple inc.,129
apple inc.,purchases,components directly from suppliers,129
apple inc.,recognizes,gain on sales as reduction of products cost of sales,130
apple inc.,had,"two vendors representing >= 10% of non-trade receivables as of september 28, 2024",130
"two vendors (sep 28, 2024)",accounted for,44% of non-trade receivables,130
"two vendors (sep 28, 2024)",accounted for,23% of non-trade receivables,130
apple inc.,had,"two vendors representing >= 10% of non-trade receivables as of september 30, 2023",130
"two vendors (sep 30, 2023)",accounted for,48% of non-trade receivables,130
"two vendors (sep 30, 2023)",accounted for,23% of non-trade receivables,130
apple inc.,filed,2024 form 10-k,130
apple inc.,designated foreign exchange contracts period 1,"$64,069",131
apple inc.,designated foreign exchange contracts period 2,"$74,730",131
apple inc.,designated interest rate contracts period 1,"$14,575",131
apple inc.,designated interest rate contracts period 2,"$19,375",131
apple inc.,non-designated foreign exchange contracts period 1,"$91,493",131
apple inc.,non-designated foreign exchange contracts period 2,"$104,777",131
apple inc.,marketable securities period 1,$—,131
apple inc.,marketable securities period 2,"$14,433",131
apple inc.,term debt period 1,"$(13,505)",131
apple inc.,term debt period 2,"$(18,247)",131
apple inc.,"had gross property, plant and equipment","$119,128 million as of september 28, 2024",132
apple inc.,"had total property, plant and equipment, net","$45,680 million as of september 28, 2024",132
apple inc.,had depreciation expense,$8.2 billion during 2024,132
apple inc.,had deferred tax assets,"$19,499 million as of september 28, 2024",132
apple inc.,had total other non-current assets,"$74,834 million as of september 28, 2024",132
apple inc.,had total other current liabilities,"$78,304 million as of september 28, 2024",132
apple inc.,had total other non-current liabilities,"$45,888 million as of september 28, 2024",132
apple inc.,had depreciation expense,$8.5 billion during 2023,132
apple inc.,"had total property, plant and equipment, net","$43,715 million as of september 30, 2023",132
european commission,announced,state aid decision,133
state aid decision,announced on,"august 30, 2016",133
ireland,granted state aid to,apple inc.,133
ireland,provided,tax opinions,133
tax opinions,provided in,1991 and 2007,133
state aid decision,ordered recovery from,apple inc.,133
interest amount,was,€1.2 billion,133
adjusted recovery amount,was,€12.7 billion,133
escrow balance,was,€14.2 billion,133
escrow balance,as of,"september 28, 2024",133
apple inc.,has,$13.2 billion current marketable securities,134
current marketable securities,listed in,consolidated balance sheet,134
information about current marketable securities,found in,note 4,134
note 4,titled,financial instruments,134
note 4,includes section,"cash, cash equivalents and marketable securities",134
apple inc.,filed,2024 form 10-k,134
2024 form 10-k,page,39,134
apple inc.,reports,"machinery equipment and internal-use software value 80,205",135
apple inc.,reports,"leasehold improvements value 14,233",135
apple inc.,reports,"gross property plant and equipment value 119,128",135
apple inc.,reports,"accumulated depreciation value (73,448)",135
apple inc.,reports,"total property plant and equipment net value 45,680",135
apple inc.,reports,"total other non-current assets value 74,834",135
apple inc.,reports,"total other current liabilities value 78,304",135
apple inc.,reports,"total other non-current liabilities value 45,888",135
apple inc.,appealed,state aid decision,136
ireland,appealed,state aid decision,136
general court,annulled,state aid decision,136
commission,appealed,general court decision,136
ecj,set aside,general court judgment,136
ecj,confirmed,commission state aid decision,136
apple inc.,recorded,one-time income tax charge,136
one-time income tax charge,was,$10.2 billion net,136
apple inc.,provision income taxes 2024,"$29,749 million",136
apple inc.,foreign pretax earnings 2024,$77.3 billion,136
apple inc.,had foreign pretax earnings,$77.3 billion in 2024,137
apple inc.,had foreign pretax earnings,$72.9 billion in 2023,137
apple inc.,had foreign pretax earnings,$71.3 billion in 2022,137
statutory federal income tax rate,was,21% in 2024,137
apple inc.,had provision for income taxes,"$29,749 million in 2024",137
apple inc.,had provision for income taxes,"$16,741 million in 2023",137
apple inc.,had provision for income taxes,"$19,300 million in 2022",137
apple inc.,had effective tax rate,24.1% in 2024,137
apple inc.,had effective tax rate,14.7% in 2023,137
apple inc.,had effective tax rate,16.2% in 2022,137
apple inc.,has,"provision for income taxes of $29,749",138
apple inc.,has,"provision for income taxes of $16,741",138
apple inc.,has,"provision for income taxes of $19,300",138
apple inc.,has,effective tax rate of 24.1%,138
apple inc.,has,effective tax rate of 14.7%,138
apple inc.,has,effective tax rate of 16.2%,138
apple inc.,provision includes,state taxes,138
apple inc.,provision includes,foreign taxes,138
apple inc.,effective rate impacted by,state aid decision,138
apple inc.,effective rate impacted by,earnings of foreign subsidiaries,138
apple inc.,had total deferred tax assets,"$34,873 million on september 28, 2024",139
apple inc.,had total deferred tax assets,"$32,743 million on september 30, 2023",139
apple inc.,had total deferred tax assets net,"$26,007 million on september 28, 2024",139
apple inc.,had total deferred tax assets net,"$24,369 million on september 30, 2023",139
apple inc.,had total deferred tax liabilities,"$6,805 million on september 28, 2024",139
apple inc.,had total deferred tax liabilities,"$7,118 million on september 30, 2023",139
apple inc.,had net deferred tax assets,"$19,202 million on september 28, 2024",139
apple inc.,had net deferred tax assets,"$17,251 million on september 30, 2023",139
apple inc.,had foreign tax credit carryforwards,"$5.1 billion in ireland on september 28, 2024",139
apple inc.,had california r&d credit carryforwards,"$3.6 billion on september 28, 2024",139
apple inc.,had gross unrecognized tax benefits,"$22.0 billion on september 28, 2024",139
apple inc.,had gross unrecognized tax benefits,"$19.5 billion as of september 30, 2023",140
$9.5 billion,of gross unrecognized tax benefits,would impact effective tax rate if recognized,140
gross unrecognized tax benefits balance,"was $19,454 million",at beginning of 2024,140
gross unrecognized tax benefits balance,"was $22,038 million",at end of 2024,140
apple inc.,is subject to taxation in,u.s. federal jurisdiction,140
apple inc.,files income tax returns in,u.s. federal jurisdiction,140
tax years after 2017,remain subject to examination in,u.s. federal jurisdiction,140
tax years after 2014,remain subject to examination in,certain major foreign jurisdictions,140
apple inc.,believes gross unrecognized tax benefits could decrease,between $5 billion and $13 billion in next 12 months,140
apple inc.,expects decrease in,gross unrecognized tax benefits,141
gross unrecognized tax benefits decrease,estimated range,approximately $5 billion to $13 billion,141
gross unrecognized tax benefits decrease,expected timeframe,next 12 months,141
gross unrecognized tax benefits decrease,primarily related to,intercompany transfer pricing,141
gross unrecognized tax benefits decrease,primarily related to,deemed repatriation tax,141
apple inc.,source document,2024 form 10-k,141
2024 form 10-k,page,41,141
apple inc.,files returns in,u.s. federal jurisdiction,142
apple inc.,files returns in,many state jurisdictions,142
apple inc.,files returns in,many foreign jurisdictions,142
apple inc.,has,total deferred tax assets,142
apple inc.,has,"total deferred tax assets, net",142
apple inc.,has,total deferred tax liabilities,142
apple inc.,has,net deferred tax assets,142
apple inc.,has,valuation allowance,142
apple inc.,settles with,taxing authorities,142
apple inc.,tax positions decrease due to,expiration,142
apple inc.,has,lease arrangements for equipment and facilities,143
apple inc. leases,have term,not exceeding 10 years,143
apple inc. leases,contain,multiyear renewal options,143
apple inc. lease payments,can be,fixed or variable,143
apple inc. fixed operating lease costs,were,$2.0 billion in 2024,143
apple inc. variable lease costs,were,$13.8 billion in 2024,143
apple inc. made fixed operating lease payments,of,$1.9 billion in 2024,143
apple inc. noncash rou asset activities,were,$1.0 billion in 2024,143
apple inc. operating lease rou assets,were,"$10,234 million on september 28, 2024",143
apple inc. operating lease rou assets,were,"$10,661 million on september 30, 2023",143
apple inc.,had operating lease right-of-use assets,"$10,234 million in 2024",144
apple inc.,had finance lease right-of-use assets,"$1,069 million in 2024",144
apple inc.,had total right-of-use assets,"$11,303 million in 2024",144
apple inc.,had total lease liabilities,"$12,430 million in 2024",144
apple inc.,had total lease liabilities,"$12,842 million in 2023",144
apple inc.,had total undiscounted lease liabilities,"$14,790 million as of september 28, 2024",144
apple inc.,had weighted-average remaining lease term,"10.3 years as of september 28, 2024",144
apple inc.,had discount rate for lease liabilities,"3.1% as of september 28, 2024",144
apple inc.,had discount rate for lease liabilities,"3.0% as of september 30, 2023",144
apple inc.,had,$849 million fixed payment obligations,145
apple inc.,had obligations under,additional leases,145
apple inc.,obligations for,corporate facilities,145
apple inc.,obligations for,retail space,145
apple inc.,obligations as of,"september 28, 2024",145
additional leases,commence between,2025 and 2026,145
additional leases,have term range,less than 1 year to 21 years,145
apple inc.,filed,2024 form 10-k,145
2024 form 10-k,page,42,145
apple inc.,has operating lease assets,"$10,661",146
apple inc.,has finance lease assets,"$1,015",146
apple inc.,has total right-of-use assets,"$11,676",146
apple inc.,has current operating lease liabilities,"$1,410",146
apple inc.,has non-current operating lease liabilities,"$10,408",146
apple inc.,has total lease liabilities,"$12,430",146
apple inc.,has total undiscounted liabilities,"$14,790",146
apple inc.,has imputed interest,"$2,360",146
apple inc.,undiscounted lease liabilities due 2026,"$2,045",146
apple inc.,undiscounted lease liabilities due 2027,"$1,733",146
apple inc.,issues,commercial paper,147
commercial paper,is pursuant to,commercial paper program,147
apple inc.,uses proceeds for,general corporate purposes,147
general corporate purposes,include,dividends,147
general corporate purposes,include,share repurchases,147
apple inc.,had outstanding,"$10.0 billion commercial paper as of september 28, 2024",147
apple inc.,had outstanding,"$6.0 billion commercial paper as of september 30, 2023",147
commercial paper,had interest rate,"5.00% as of september 28, 2024",147
commercial paper,had interest rate,"5.28% as of september 30, 2023",147
apple inc.,has outstanding,term debt notes,147
apple inc.,has total term debt principal,"$97,341 as of september 28, 2024",148
apple inc.,has total term debt principal,"$106,572 as of september 30, 2023",148
apple inc.,has total term debt,"$96,662 as of september 28, 2024",148
apple inc.,has total term debt,"$105,103 as of september 30, 2023",148
apple inc.,uses,interest rate swaps to manage interest rate risk,148
apple inc.,uses,cross-currency swaps to manage foreign exchange rate risk,148
apple inc.,has principal payment,"$10,930 in 2025",148
apple inc.,has principal payment,"$12,342 in 2026",148
apple inc.,has principal payment,"$5,153 in 2029",148
apple inc.,has principal payment,"$51,180 thereafter",148
apple inc.,has principal payment in,"2025 $10,930 million",149
apple inc.,has principal payment in,"2026 $12,342 million",149
apple inc.,has principal payment in,"2027 $9,936 million",149
apple inc.,has principal payment in,"2028 $7,800 million",149
apple inc.,has principal payment in,"2029 $5,153 million",149
apple inc.,has principal payment,"thereafter $51,180 million",149
apple inc.,has total term debt principal,"$97,341 million",149
apple inc.,has total term debt principal,"$97,341",150
apple inc.,has total term debt,"$96,662",150
apple inc.,has total non-current portion of term debt,"$85,750",150
apple inc.,has term debt maturing in 2025,"$10,930",150
apple inc.,has term debt maturing in 2026,"$12,342",150
apple inc.,has term debt maturing thereafter,"$51,180",150
apple inc.,has fixed-rate notes maturity range,2024 – 2062,150
apple inc.,"had total proceeds from commercial paper, net","$3,960",150
apple inc.,"had fair value of notes (sep 28, 2024)",$88.4 billion,151
apple inc.,"had fair value of notes (sep 30, 2023)",$90.8 billion,151
apple inc.,repurchased shares in 2024,499 million shares,151
apple inc.,spent on share repurchase in 2024,$95.0 billion,151
apple inc. common stock outstanding,beginning balance 2024,"15,550,061 thousand shares",151
apple inc. common stock outstanding,ending balance 2024,"15,116,786 thousand shares",151
apple inc. 2022 employee stock plan,is type of,shareholder-approved plan,151
apple inc. 2022 employee stock plan,provides for,broad-based equity grants,151
apple inc. 2022 employee stock plan,permits granting of,rsus,151
rsus granted under 2022 plan,vest over,four years,151
2022 plan,grants,rsus,152
rsus under 2022 plan,vest over,four years,152
rsus under 2022 plan,settle in,shares of common stock,152
2022 plan,authorized,1.3 billion shares,152
2022 plan,approved on,"march 4, 2022",152
2014 employee stock plan,is,shareholder-approved,152
2014 employee stock plan,permitted granting,cash bonus awards,152
apple inc.,terminated authority for,2014 employee stock plan,152
termination of 2014 plan authority,occurred in,third quarter of 2022,152
apple inc.,repurchased common stock,"499,372 shares",153
apple inc.,repurchased common stock,"471,419 shares",153
apple inc.,repurchased common stock,"568,589 shares",153
apple inc.,issued common stock,"66,097 shares",153
apple inc.,issued common stock,"78,055 shares",153
apple inc.,issued common stock,"85,228 shares",153
apple inc.,had common stock outstanding,"15,116,786 shares",153
apple inc.,had common stock outstanding,"15,550,061 shares",153
apple inc.,had common stock outstanding,"15,943,425 shares",153
apple inc.,"had rsu balance on sep 25, 2021","240,427 thousand",154
apple inc.,"had rsu balance on sep 28, 2024","163,326 thousand",154
apple inc.,"granted rsu in period ending sep 24, 2022","91,674 thousand",154
apple inc.,"vested rsu in period ending sep 28, 2024","87,633 thousand",154
apple inc.,"had aggregate fair value of rsu on sep 28, 2024","$37,204 million",154
apple inc.,had fair value of vested rsu in 2024,$15.8 billion,154
apple inc.,had fair value of vested rsu in 2022,$18.2 billion,154
apple inc.,withheld shares in 2024,approximately 31 million,154
apple inc.,paid taxing authorities in 2024,$5.6 billion,154
apple inc.,paid taxing authorities,$5.6 billion for employee tax obligations in 2024,155
apple inc.,paid taxing authorities,$5.6 billion for employee tax obligations in 2023,155
apple inc.,paid taxing authorities,$6.4 billion for employee tax obligations in 2022,155
apple inc.,had share-based compensation expense,"$11,688 million in 2024",155
apple inc.,had share-based compensation expense,"$10,833 million in 2023",155
apple inc.,had share-based compensation expense,"$9,038 million in 2022",155
apple inc.,had unrecognized compensation cost for rsu,"$19.4 billion as of september 28, 2024",155
apple inc.,expects to recognize unrecognized cost over,2.4 years,155
apple inc.,entered into,unconditional purchase obligations,155
apple inc.'s unconditional purchase obligations,total future payments,"$11,226 million",155
apple inc.,had rsu balance,"201,501 on september 24, 2022",156
apple inc.,had rsu balance,"180,247 on september 30, 2023",156
apple inc.,had rsu balance,"163,326 on september 28, 2024",156
apple inc.,"had $37,204 rsu value","on september 28, 2024",156
apple inc.,had income tax benefit from share-based compensation,"$(3,350) (period ending sep 24, 2022)",156
apple inc.,had income tax benefit from share-based compensation,"$(3,421) (period ending sep 30, 2023)",156
apple inc.,had income tax benefit from share-based compensation,"$(4,002) (period ending sep 28, 2024)",156
apple inc.,has future payment obligation,"2,440 in 2026",156
apple inc.,has future payment obligation,"3,121 in 2028",156
apple inc.,has total future payment obligation,"11,226",156
apple inc.,is subject to,legal proceedings,157
certain components,obtained from,single sources,157
apple inc.,competes for,components,157
apple inc.,competes in,markets,157
many components,subject to,industry-wide shortage,157
many components,subject to,pricing fluctuations,157
apple inc.,uses,custom components,157
new products,utilize,custom components,157
custom components,available from,one source,157
apple inc.,hardware products manufactured by,outsourcing partners,158
outsourcing partners,located in,china mainland,158
outsourcing partners,located in,india,158
apple inc.,reportable segments include,americas,158
apple inc.,reportable segments include,europe,158
apple inc.,reportable segments include,greater china,158
greater china,includes,china mainland,158
europe,includes,india,158
apple inc.,evaluates performance based on,net sales,158
apple inc.,evaluates performance by,net sales,159
apple inc.,evaluates performance by,operating income,159
americas,had net sales in 2024,"$167,045 million",159
americas,had operating income in 2024,"$67,656 million",159
europe,had net sales in 2024,"$101,328 million",159
europe,had operating income in 2024,"$41,790 million",159
greater china,had net sales in 2024,"$66,952 million",159
greater china,had operating income in 2024,"$27,082 million",159
japan,had net sales in 2024,"$25,052 million",159
rest of asia pacific,had net sales in 2024,"$30,658 million",159
apple inc.,had segment operating income in 2024,"$162,044 million",160
apple inc.,had research and development expense in 2024,"$31,370 million",160
apple inc.,had total operating income in 2024,"$123,216 million",160
apple inc.,had net sales in u.s. in 2024,"$142,196 million",160
apple inc.,had net sales in china in 2024,"$66,952 million",160
apple inc.,had total net sales in 2024,"$391,035 million",160
apple inc.,had long-lived assets in u.s. in 2024,"$35,664 million",160
apple inc.,had long-lived assets in china in 2024,"$4,797 million",160
china,includes,hong kong and taiwan,160
apple inc.,has net sales in europe,"$ 101,328",161
apple inc.,has operating income in europe,"$ 41,790",161
apple inc.,has net sales in greater china,"$ 66,952",161
apple inc.,has operating income in greater china,"$ 27,082",161
apple inc.,has net sales in japan,"$ 25,052",161
apple inc.,has research and development expense,"(31,370)",161
apple inc.,has total operating income,"$ 123,216",161
apple inc.,has net sales in u.s.,"$ 142,196",161
apple inc.,has total net sales,"$ 391,035",161
apple inc.,has total long-lived assets,"$ 45,680",161
apple inc.,has,shareholders,162
apple inc.,has,board of directors,162
apple inc.,has,consolidated balance sheets,162
apple inc.,has,consolidated statements of operations,162
apple inc.,has,consolidated statements of cash flows,162
apple inc.,has,internal control over financial reporting,162
financial statements,conform to,u.s. generally accepted accounting principles,162
internal control over financial reporting,based on,internal control – integrated framework,162
internal control – integrated framework,issued by,committee of sponsoring organizations of the treadway commission,162
"audit report dated november 1, 2024",expressed,unqualified opinion,162
auditor report,dated,"november 1, 2024",163
auditor report,expressed,unqualified opinion,163
apple inc. financial statements,responsibility of,apple inc. management,163
auditor,registered with,pcaob,163
auditor,required independent of,apple inc.,163
auditor independence,according to,u.s. federal securities laws,163
auditor,conducted audits according to,pcaob standards,163
auditor audits,included,assessing misstatement risks,163
auditor audits,included,evaluating accounting principles,163
auditor audits,provide basis for,auditor opinion,163
apple inc.,subject to taxes,u.s.,164
apple inc.,subject to taxes,foreign jurisdictions,164
apple inc.,had,"$22.0 billion gross unrecognized tax benefits as of september 28, 2024",164
$22.0 billion,is,total gross unrecognized tax benefits,164
$10.8 billion,would impact,effective tax rate,164
apple inc.,uses judgment,accounting for uncertain tax positions,164
apple inc.,uses,gaap,164
apple inc.,uses,domestic tax laws,164
apple inc.,uses,international tax laws,164
critical audit matter,is,uncertain tax positions,164
auditor,tested,controls relating to uncertain tax positions,165
auditor,evaluated,apple inc. assessment of tax positions,165
auditor,evaluated,apple inc. measurement of tax benefit,165
audit procedures,included,reading management assumptions,165
audit procedures,included,evaluating management analysis,165
audit procedures,included,apple inc. communications with taxing authorities,165
apple inc. communications,detailed,basis of uncertain tax positions,165
apple inc. communications,detailed,technical merits of uncertain tax positions,165
auditor,involved,tax subject matter resources,165
tax subject matter resources,assessed,technical merits of apple inc. tax positions,165
ernst & young llp,served as auditor,apple inc.,166
ernst & young llp,audited,apple inc.'s internal control over financial reporting,166
apple inc.'s internal control over financial reporting,as of,"september 28, 2024",166
ernst & young llp,based audit on,coso criteria,166
apple inc.,maintained,effective internal control,166
ernst & young llp,audited,apple inc.'s consolidated balance sheets,166
apple inc.'s consolidated balance sheets,as of,"september 28, 2024",166
apple inc.'s consolidated balance sheets,as of,"september 30, 2023",166
ernst & young llp,followed,pcaob standards,166
report of independent registered public accounting firm,dated,"november 1, 2024",166
apple inc.,has,consolidated balance sheets,167
apple inc.,has,consolidated statements of operations,167
apple inc.,has,consolidated statements of cash flows,167
consolidated balance sheets,as of,"september 28, 2024",167
consolidated statements,cover period ended,"september 28, 2024",167
report,dated,"november 1, 2024",167
report,expressed,unqualified opinion,167
apple inc. management,responsible for,maintaining effective internal control over financial reporting,167
auditor,registered with,pcaob,167
audit,conducted in accordance with,pcaob standards,167
our audit,included,obtaining understanding of internal control,168
our audit,included,assessing risk of material weakness,168
our audit,provides,reasonable basis for opinion,168
apple inc.'s internal control over financial reporting,is,a process,168
apple inc.'s internal control over financial reporting,designed to provide,reasonable assurance regarding reliability of financial reporting,168
apple inc.'s internal control over financial reporting,designed to provide,reasonable assurance regarding preparation of financial statements,168
preparation of financial statements,in accordance with,generally accepted accounting principles,168
apple inc.'s internal control over financial reporting,includes,policies and procedures,168
policies and procedures,pertain to,maintenance of records,168
maintenance of records,reflect,transactions and dispositions of apple inc.'s assets,168
apple inc.,files,2024 form 10-k,169
2024 form 10-k,contains,item 9,169
item 9,covers,changes in and disagreements with accountants,169
2024 form 10-k,contains,item 9a,169
item 9a,covers,controls and procedures,169
apple inc.,has,disclosure controls and procedures,169
disclosure controls and procedures,effective as of,"september 28, 2024",169
disclosure controls and procedures,defined by,rules 13a-15(e) and 15d-15(e),169
rules 13a-15(e) and 15d-15(e),are under,exchange act,169
ernst & young llp,signed report on,"november 1, 2024",169
apple inc.,files,reports under exchange act,170
information disclosed by apple inc.,reported within,sec time periods,170
information disclosed by apple inc.,communicated to,management,170
apple inc.,has,internal control over financial reporting,170
internal control over financial reporting,provides assurance regarding,reliability of financial reporting,170
internal control over financial reporting,provides assurance regarding,preparation of financial statements,170
financial statements,prepared according to,gaap,170
internal control over financial reporting,includes,policies and procedures,170
policies and procedures,pertain to,maintenance of records,170
policies and procedures,provide assurance regarding,prevention of unauthorized acquisition of assets,170
management,is responsible for,establishing internal control over financial reporting,171
management,is responsible for,maintaining internal control over financial reporting,171
internal control over financial reporting,provides,reasonable assurance,171
internal control over financial reporting,does not provide,absolute assurance,171
internal control over financial reporting,aims to prevent,unauthorized acquisition of apple inc.'s assets,171
internal control over financial reporting,aims to detect,unauthorized disposition of apple inc.'s assets,171
unauthorized acquisition of apple inc.'s assets,could affect,financial statements,171
internal control over financial reporting,has,inherent limitations,171
internal controls,may become inadequate due to,changes in business conditions,171
apple inc. management,responsible for,internal control over financial reporting,172
apple inc. management,conducted,assessment of internal control effectiveness,172
assessment,based on,internal control – integrated framework,172
internal control – integrated framework,issued by,committee of sponsoring organizations of the treadway commission,172
apple inc. internal control over financial reporting,effective as of,"september 28, 2024",172
apple inc.,independent accounting firm is,ernst & young llp,172
ernst & young llp,issued,audit report on internal control over financial reporting,172
audit report,appears in,"part ii, item 8 of form 10-k",172
apple inc. internal control over financial reporting,had no changes during,fourth quarter 2024,172
apple inc.,files,2024 form 10-k,173
deirdre o’brien,is,"senior vice president, retail",173
deirdre o’brien,entered,trading plan,173
deirdre o’brien's trading plan,satisfies conditions of,rule 10b5-1(c),173
jeff williams,is,chief operating officer,173
jeff williams,entered,trading plan,173
jeff williams' trading plan,satisfies conditions of,rule 10b5-1(c),173
rule 13a-15,is under,exchange act,173
rule 15d-15,is under,exchange act,173
rule 10b5-1(c),is under,exchange act,173
apple inc.,granted equity awards to,mr. williams,174
mr. williams' plan,expires on,"december 15, 2025",174
mr. williams' plan,subject to,early termination,174
apple inc.,has,insider trading policy,174
insider trading policy,applies to,company personnel,174
apple inc.,follows,repurchase procedures,174
insider trading policy,filed as,exhibit 19.1,174
remaining information,included in,definitive proxy statement,174
definitive proxy statement,filed with,sec,174
definitive proxy statement,for,2025 annual meeting of shareholders,174
apple inc.,files,2024 form 10-k,175
2024 form 10-k,contains,item 11,175
item 11,covers,executive compensation,175
item 11 information,located in,2025 proxy statement,175
2024 form 10-k,contains,item 15,175
item 15,lists,exhibit and financial statement schedules,175
item 15(a)(1),lists,financial statements,175
financial statements,include,consolidated statements of operations,175
consolidated statements of operations,cover years ended,"sep 28, 2024, sep 30, 2023, sep 24, 2022",175
consolidated statements of operations,on page,29,175
apple inc.,filed,restated articles of incorporation,176
restated articles of incorporation,filed on,"august 3, 2020",176
restated articles of incorporation,filed as,form 8-k,176
apple inc.,has,amended and restated bylaws,176
amended and restated bylaws,effective as of,"august 20, 2024",176
apple inc.,has,description of securities,176
apple inc.,is party to,indenture,176
indenture,dated as of,"april 29, 2013",176
indenture,between,apple inc.,176
indenture,between,"the bank of new york mellon trust company, n.a.",176
apple inc.,signed,"indenture dated april 29, 2013",177
"indenture dated april 29, 2013",with,"the bank of new york mellon trust company, n.a.",177
"the bank of new york mellon trust company, n.a.",acts as,trustee,177
apple inc.,issued,"officer's certificate dated may 3, 2013",177
"officer's certificate dated may 3, 2013",represents,floating rate notes due 2016,177
"officer's certificate dated may 3, 2013",represents,3.85% notes due 2043,177
apple inc.,issued,"officer's certificate dated may 6, 2014",177
"officer's certificate dated may 6, 2014",represents,4.45% notes due 2044,177
apple inc.,issued,"officer's certificate dated november 10, 2014",177
"officer's certificate dated november 10, 2014",represents,1.625% notes due 2026,177
apple inc.,issued,floating rate notes due 2017,178
apple inc.,issued,floating rate notes due 2020,178
apple inc.,issued,0.900% notes due 2017,178
apple inc.,issued,2.000% notes due 2020,178
apple inc.,issued,2.700% notes due 2022,178
apple inc.,issued,3.200% notes due 2025,178
apple inc.,issued,4.375% notes due 2045,178
apple inc.,filed officer's certificate,"dated july 31, 2015",178
apple inc.,filed officer's certificate,"dated september 17, 2015",178
apple inc.,has,consolidated statements of comprehensive income,179
consolidated statements of comprehensive income,covers year ended,"september 28, 2024",179
consolidated statements of comprehensive income,covers year ended,"september 30, 2023",179
consolidated statements of comprehensive income,covers year ended,"september 24, 2022",179
apple inc.,has,consolidated balance sheets,179
consolidated balance sheets,as of,"september 28, 2024",179
consolidated balance sheets,as of,"september 30, 2023",179
apple inc.,has,consolidated statements of shareholders’ equity,179
consolidated statements of shareholders’ equity,covers year ended,"september 28, 2024",179
consolidated statements of shareholders’ equity,covers year ended,"september 30, 2023",179
apple inc.,filed,"officer's certificate dated february 23, 2016",180
"officer's certificate dated february 23, 2016",includes,floating rate notes due 2019,180
"officer's certificate dated february 23, 2016",includes,1.300% notes due 2018,180
"officer's certificate dated february 23, 2016",includes,4.650% notes due 2046,180
apple inc.,filed,"supplement no. 1 dated march 24, 2016",180
apple inc.,filed,"officer's certificate dated august 4, 2016",180
"officer's certificate dated august 4, 2016",includes,1.100% notes due 2019,180
"officer's certificate dated august 4, 2016",includes,3.850% notes due 2046,180
apple inc.,filed,"officer's certificate dated february 9, 2017",180
"officer's certificate dated february 9, 2017",includes,floating rate notes due 2020,180
apple inc.,issued,floating rate notes due 2020,181
apple inc.,issued,1.800% notes due 2020,181
apple inc.,issued,2.850% notes due 2024,181
apple inc.,issued,0.875% notes due 2025,181
apple inc.,issued,3.750% notes due 2047,181
apple inc.,issued,2.950% notes due 2049,181
indenture,dated,"november 5, 2018",181
indenture,between,apple inc.,181
indenture,between,"the bank of new york mellon trust company, n.a.",181
"the bank of new york mellon trust company, n.a.",acts as,trustee,181
apple inc.,has note,1.700% notes due 2022,182
apple inc.,has note,2.950% notes due 2049,182
apple inc.,has note,0.000% notes due 2025,182
apple inc.,has note,0.500% notes due 2031,182
apple inc.,has note,1.650% notes due 2030,182
apple inc.,has note,2.650% notes due 2050,182
apple inc.,has note,0.550% notes due 2025,182
apple inc.,has note,2.550% notes due 2060,182
apple inc.,has indenture with,"the bank of new york mellon trust company, n.a.",182
apple inc.,has,deferred compensation plan,183
apple inc.,has,employee stock purchase plan,183
employee stock purchase plan,amended,"march 10, 2015",183
apple inc.,has,non-employee director stock plan,183
non-employee director stock plan,amended,"november 9, 2021",183
apple inc.,has,2014 employee stock plan,183
2014 employee stock plan,amended,"october 1, 2017",183
restricted stock unit award agreement,is under,2014 employee stock plan,183
indemnification agreement,is between,apple inc. and directors and executive officers,183
"indenture dated oct 28, 2021",involves,apple inc.,183
apple inc.,has,2014 employee stock plan,184
apple inc.,has,non-employee director stock plan,184
apple inc.,has,2022 employee stock plan,184
apple inc.,has,executive cash incentive plan,184
2014 employee stock plan,governs,form of restricted stock unit award agreement,184
2014 employee stock plan,governs,form of performance award agreement,184
2014 employee stock plan,governs,form of ceo restricted stock unit award agreement,184
2022 employee stock plan,governs,form of restricted stock unit award agreement,184
2022 employee stock plan,governs,form of performance award agreement,184
form of performance award agreement under 2022 employee stock plan,is exhibit,10.15,185
apple inc. executive cash incentive plan,is exhibit,10.16,185
apple inc. executive cash incentive plan,effective as of,"august 19, 2022",185
form of ceo restricted stock unit award agreement under 2022 employee stock plan,is exhibit,10.17,185
form of ceo restricted stock unit award agreement under 2022 employee stock plan,effective as of,"september 25, 2022",185
insider trading policy,is exhibit,19.1,185
apple inc.,has subsidiaries exhibit,21.1,185
rule 13a-14(a) / 15d-14(a) certification of chief executive officer,is exhibit,31.1,185
rule 10d-1 recovery policy,is exhibit,97.1,185
apple inc.,files,2024 form 10-k,186
2024 form 10-k,includes,exhibit 101,186
exhibit 101,is,inline xbrl document set,186
exhibit 101,includes,consolidated financial statements,186
consolidated financial statements,are in,"part ii, item 8",186
"part ii, item 8",is titled,financial statements and supplementary data,186
